Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
24,0.10081624,0.09415191,0.09514779,0.0857785,0.08688852,0.08596323,0.08318917,0.08057017,0.08279518,0.08508899,0.08637966,0.05891101,0.04825841,0.04524576,0.03526605,0.01674264,0.01698806,0.00604314,0.00789559,0.00578791,0.00294991
25,0.07565021,0.08233799,0.08922842,0.08715693,0.08088619,0.08084764,0.08422449,0.07703628,0.07059779,0.06285887,0.05602667,0.07231393,0.06082766,0.03186337,0.02245729,0.02540822,0.01143066,0.00627763,0.00419943,0.00308585,0.0013306
26,0.06800312,0.08153207,0.0870156,0.08424367,0.08101381,0.07673598,0.07593727,0.08360252,0.08192507,0.07779097,0.06861898,0.0792664,0.07535403,0.04857566,0.03600158,0.01894429,0.0095232,0.01127877,0.00432265,0.00571474,0.00216539
27,0.05989727,0.05227955,0.06131364,0.08069305,0.07985508,0.07383126,0.06300229,0.05386847,0.04499416,0.0381761,0.0399692,0.04136392,0.04171121,0.03842609,0.02638225,0.01847197,0.01610019,0.00606023,0.00810095,0.00293161,0.00136186
28,0.05800512,0.04676916,0.05922499,0.07330388,0.07593667,0.06929056,0.06093635,0.05400485,0.04727716,0.04218343,0.04282012,0.04429817,0.04415851,0.05931073,0.04054726,0.02947265,0.01120453,0.0103858,0.00468973,0.00507423,0.00136505
29,0.03728698,0.04399137,0.04461426,0.04060326,0.03838011,0.03719102,0.03674991,0.03677694,0.03871528,0.03902001,0.0318426,0.02690922,0.02850843,0.09552455,0.03665909,0.02314227,0.01443974,0.0068824,0.00869541,0.00333654,0.0011829
30,0.02991315,0.0361723,0.03856124,0.03548643,0.03465202,0.03541646,0.03739509,0.040143,0.04403117,0.04452335,0.03917748,0.03424765,0.03815762,0.03403661,0.02646966,0.02030782,0.01222217,0.00694599,0.00482108,0.00415681,0.00131877
31,0.0224736,0.03383003,0.03358553,0.02981307,0.02514849,0.02007105,0.01573871,0.01569096,0.01767335,0.02114405,0.02430616,0.03698625,0.04594289,0.03638711,0.02808196,0.03253472,0.02142031,0.01015414,0.00738525,0.00627513,0.00227707
32,0.01725036,0.02468672,0.02572389,0.02534166,0.02400616,0.02167992,0.01754367,0.0144241,0.01893945,0.02348138,0.02904024,0.02430817,0.02265793,0.03619232,0.04302643,0.03055666,0.01350097,0.01882794,0.01344431,0.00545593,0.00120775
33,0.01091368,0.01850597,0.01900703,0.01882429,0.01967837,0.01989262,0.01962974,0.01463998,0.01766185,0.01781078,0.02773533,0.03195753,0.02621768,0.03679903,0.03845277,0.03413285,0.02168154,0.0098434,0.00808934,0.00593182,0.00212007
34,0.00362145,0.01438996,0.01713632,0.0190326,0.01826843,0.01726236,0.01623808,0.01423992,0.01469497,0.01548516,0.02142848,0.02175503,0.03097458,0.06200949,0.03111769,0.03086435,0.01531438,0.01774079,0.01465972,0.01061079,0.00136782
35,0.00214427,0.00465262,0.00570012,0.00668624,0.00762581,0.00851047,0.00939564,0.01254625,0.01417937,0.01485609,0.01852363,0.0214365,0.0405281,0.02415599,0.04490891,0.04676191,0.0280503,0.01284942,0.01078717,0.00718836,0.00213593
36,0.00096902,0.00279912,0.00352875,0.0045283,0.00551528,0.00696335,0.00992245,0.00969966,0.01124948,0.01409293,0.01995812,0.0247344,0.02462443,0.03801788,0.02152844,0.0191029,0.01326799,0.02411166,0.02113847,0.01399391,0.00157168
37,0.00082911,0.00118954,0.00168343,0.00319797,0.00493766,0.0068855,0.00921403,0.0079774,0.01027557,0.01673445,0.01547336,0.0211501,0.02246231,0.02383221,0.0245306,0.02171683,0.020779,0.01960792,0.01343977,0.01323337,0.00213399
38,0.00083051,0.00112956,0.00166056,0.00214696,0.00367152,0.00614374,0.00837053,0.00725405,0.00853181,0.01301766,0.01937679,0.0232781,0.01799583,0.03484365,0.01989042,0.01427922,0.01276285,0.01782506,0.01612494,0.01746332,0.00183868
39,0.00080398,0.00110353,0.0014256,0.00190207,0.00280652,0.00411947,0.00589014,0.00610171,0.00945273,0.01483011,0.01557417,0.01863074,0.02620836,0.01820201,0.01936294,0.0209334,0.02286166,0.01674044,0.01313352,0.0104542,0.00257273
40,0.00084217,0.00100755,0.00131683,0.00186376,0.00287599,0.00372989,0.00486216,0.00462906,0.00886094,0.01209041,0.01745578,0.02108704,0.01494538,0.02740142,0.03165028,0.01804214,0.01954939,0.01201724,0.00885642,0.00888583,0.00377434
41,0.00064487,0.00098463,0.00116054,0.00160452,0.0019895,0.00335816,0.0052452,0.00417588,0.01090903,0.0128988,0.00914415,0.01169883,0.01545225,0.01545271,0.01627101,0.01639851,0.01535841,0.01644963,0.01274053,0.00775448,0.00352188
42,0.00061968,0.00088898,0.0012093,0.00153273,0.00211546,0.00273247,0.00379979,0.0039768,0.00591351,0.00888008,0.01255766,0.01482018,0.01881606,0.02027875,0.01496021,0.01464543,0.01287084,0.0107619,0.00860336,0.01307563,0.00709238
43,0.00056738,0.00088399,0.0010192,0.00145599,0.00204965,0.00258975,0.00347123,0.0039049,0.00548382,0.01095864,0.00997363,0.01235663,0.01515477,0.01488895,0.01418818,0.01136183,0.01780234,0.01284334,0.01089033,0.00781042,0.00666408
44,0.00078916,0.00083734,0.00084877,0.00145647,0.00182942,0.00215291,0.00316753,0.00409388,0.00677511,0.00828466,0.00970839,0.01203344,0.00885129,0.02280759,0.022958,0.01213794,0.01385527,0.01655432,0.01274785,0.00717247,0.00699321
45,0.00059011,0.00083631,0.00076141,0.00153238,0.00197357,0.00211626,0.00278981,0.00361269,0.0042105,0.00526166,0.00812892,0.01186131,0.01143439,0.01424304,0.01642801,0.01973188,0.01057402,0.01015657,0.01183406,0.00901828,0.00713384
46,0.00048748,0.0008564,0.00070886,0.00074776,0.00092727,0.00151406,0.00234893,0.00466986,0.00398578,0.00456885,0.00733235,0.01026583,0.00783433,0.02091272,0.02432319,0.01157392,0.01747534,0.01016681,0.0122661,0.01359454,0.00757654
47,0.00039816,0.00045861,0.00071176,0.00072096,0.00106005,0.00131883,0.00233806,0.00304713,0.00367853,0.00566921,0.00990738,0.00769833,0.00647667,0.00731396,0.00718109,0.01090488,0.00802628,0.00942484,0.0110082,0.01244628,0.00579865
48,0.00038181,0.00035322,0.00071318,0.00063987,0.00075823,0.00133278,0.00196051,0.00312203,0.00415126,0.00435556,0.00611975,0.00735176,0.00658555,0.009422,0.00883245,0.009917,0.01206168,0.01099476,0.01187027,0.00799634,0.00678001
49,0.00036872,0.00031902,0.00050706,0.00057549,0.00063768,0.00119389,0.00187123,0.00275503,0.00360992,0.00441287,0.00608416,0.00647649,0.00605278,0.00864428,0.00708059,0.01038635,0.00906004,0.01150435,0.0108064,0.00744077,0.00635937
50,0.00022545,0.00027756,0.00037256,0.00046055,0.0006107,0.001009,0.00176718,0.00208642,0.00335345,0.00365493,0.00538805,0.00578507,0.00470751,0.00688512,0.006961,0.01848138,0.01206018,0.00994335,0.00838691,0.00609294,0.00625449
