Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
103,,,4.1E-07,3.3E-07,7.8E-07,1.25E-06,2.23E-06,1.082E-05,1.91E-06,4.38E-06,2.941E-05,5.982E-05,0.0001141,5.553E-05,7.612E-05,0.00014128,0.00012029,0.00024955,0.00019999,0.00070003,0.00071915
104,,,2.8E-07,5.7E-07,5.8E-07,9E-07,2.27E-06,6.91E-06,1.27E-06,3.96E-06,2.677E-05,2.794E-05,4.411E-05,4.562E-05,6.523E-05,8.186E-05,4.996E-05,0.00016579,0.00020758,0.00037433,0.00047076
105,,,1.6E-07,2.3E-07,3E-07,8.1E-07,1.04E-06,2.21E-06,1.46E-06,2.24E-06,1.459E-05,2.155E-05,3.599E-05,1.982E-05,5.488E-05,5.237E-05,2.886E-05,0.00015297,0.00023148,0.00024181,0.00034171
106,,,,,3E-07,9E-07,8.8E-07,1.91E-06,8.3E-07,8.3E-07,7.5E-06,3.03E-06,1.927E-05,1.002E-05,2.56E-05,7.147E-05,3.099E-05,0.00015091,0.00028263,0.00020522,0.00029871
107,,,,,2.4E-07,6.9E-07,4.4E-07,1.52E-06,1.96E-06,6.6E-07,6.05E-06,1.39E-06,1.225E-05,3.82E-06,1.518E-05,2.829E-05,3.105E-05,7.574E-05,0.00013733,0.00010921,0.00014103
108,,,,,2.9E-07,2.9E-07,4E-07,9E-07,3.7E-07,5.8E-07,3.41E-06,7E-07,3.72E-06,1.88E-06,3.07E-06,3.05E-06,1.426E-05,4.465E-05,0.00012667,2.283E-05,5.109E-05
109,,,,,2.9E-07,1.5E-07,4E-07,1.38E-06,3.8E-07,1E-07,1.21E-06,1.5E-07,1E-07,1.64E-06,1.2E-07,1.21E-06,5.63E-06,7E-08,0.00010363,7.98E-06,1.878E-05
110,,,,,2.9E-07,,8E-08,5.8E-07,6E-08,,1E-07,,,6E-08,,6E-08,2E-08,,0,0,0
111,,,,,2.9E-07,,,7E-08,,,,,,,,,,,,,
112,,,,,2.9E-07,,,,,,,,,,,,,,,,
113,,,,,1E-07,,,,,,,,,,,,,,,,
