Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
24,0.02711247,0.01042431,0.02169359,0.00859089,0.0213598,0.01153757,0.01509118,0.02561494,0.0245183,0.04900039,0.05166076,0.05071131,0.05599661,0.04632901,0.05157907,0.05535925,0.05466911,0.04881612,0.04275033,0.01591335,0.01819717
25,0.02243363,0.00887541,0.01878087,0.00954716,0.01062847,0.01033496,0.01116759,0.03434598,0.02167514,0.02839588,0.04434148,0.04443228,0.04391125,0.04154624,0.04352465,0.04836138,0.04718803,0.04049458,0.03472269,0.01629746,0.01578183
26,0.02196557,0.00849993,0.00753344,0.00735004,0.00849833,0.00804402,0.01367364,0.01453132,0.01946409,0.02364432,0.03294452,0.03476896,0.03668044,0.03825827,0.03556254,0.04411065,0.04205215,0.03354009,0.02744237,0.01546452,0.01515043
27,0.00932059,0.00661104,0.00792742,0.00481104,0.01032887,0.00667412,0.00934093,0.01207536,0.01767337,0.02199979,0.01799679,0.02241474,0.03302743,0.03336262,0.03207495,0.03723554,0.03614132,0.03119838,0.02612406,0.01413603,0.01317283
28,0.00690678,0.0058456,0.00575947,0.00423868,0.00703761,0.00585046,0.00849096,0.01003458,0.01425111,0.01184664,0.01639255,0.01851289,0.02949577,0.02668699,0.03232572,0.03657263,0.03588787,0.03048139,0.02722274,0.01166435,0.01222227
29,0.00326441,0.00228616,0.00265607,0.00294766,0.00331853,0.00560045,0.00780586,0.00929517,0.00796735,0.01013199,0.01347522,0.0142928,0.01861561,0.01939452,0.02652795,0.03313972,0.03809676,0.03234814,0.02507296,0.00817537,0.01082114
30,0.00277328,0.00205167,0.00231897,0.00256485,0.00285497,0.0049002,0.006608,0.00846724,0.00695821,0.00847688,0.01015569,0.01320744,0.01662461,0.01730139,0.02619612,0.03580114,0.03432634,0.0296763,0.02177409,0.00635079,0.01006759
31,0.00119831,0.00118611,0.0014843,0.00230459,0.00264921,0.00439185,0.00575033,0.00779702,0.00533562,0.00685098,0.00891967,0.01224186,0.01293076,0.01348414,0.03235457,0.02809367,0.03255652,0.02286323,0.01714051,0.00441475,0.00558848
32,0.00100506,0.0008339,0.00109662,0.00130289,0.00165111,0.0036122,0.00506194,0.00257055,0.00355003,0.00539143,0.00775159,0.01089196,0.01080576,0.01347,0.02042483,0.02375178,0.02451698,0.01771497,0.01610646,0.00319159,0.002983
33,0.00097333,0.00073995,0.00083236,0.00098567,0.0013112,0.0017585,0.00189039,0.00213637,0.0030472,0.00498531,0.00685907,0.00991414,0.00896197,0.00994247,0.01315389,0.01998915,0.01886186,0.01615416,0.01363818,0.00471128,0.00537235
