# n_iter -- energy -- index_op 
0 	  -3.15424492 	 [1796] 
1 	  -3.16272428 	 [1428] 
2 	  -3.17191249 	 [1620] 
3 	  -3.17860984 	 [604] 
4 	  -3.18571459 	 [1052] 
5 	  -3.19200854 	 [1317] 
6 	  -3.19440942 	 [253] 
7 	  -3.19725452 	 [885] 
8 	  -3.20005275 	 [493] 
9 	  -3.20255944 	 [1278] 
10 	  -3.20532237 	 [1837] 
11 	  -3.20701621 	 [190] 
12 	  -3.20817647 	 [1861] 
13 	  -3.20975197 	 [459] 
14 	  -3.21135938 	 [857] 
15 	  -3.21257355 	 [1472] 
16 	  -3.21379233 	 [1658] 
17 	  -3.21477188 	 [232] 
18 	  -3.21595019 	 [1042] 
19 	  -3.21727442 	 [625] 
20 	  -3.21897373 	 [1606] 
21 	  -3.22096489 	 [1449] 
22 	  -3.22159708 	 [1343] 
23 	  -3.22241418 	 [878] 
24 	  -3.22328635 	 [501] 
25 	  -3.22392699 	 [1295] 
26 	  -3.22456297 	 [628] 
27 	  -3.22510458 	 [208] 
28 	  -3.22606561 	 [1687] 
29 	  -3.22648374 	 [1220] 
30 	  -3.22704389 	 [1308] 
31 	  -3.22746117 	 [655] 
32 	  -3.22829314 	 [1379] 
33 	  -3.22883674 	 [1123] 
34 	  -3.22930117 	 [1063] 
35 	  -3.22969658 	 [223] 
36 	  -3.23002082 	 [1088] 
37 	  -3.23045657 	 [548] 
38 	  -3.23079298 	 [841] 
39 	  -3.23109849 	 [474] 
40 	  -3.23123398 	 [133] 
41 	  -3.23148237 	 [1649] 
42 	  -3.23169104 	 [1477] 
43 	  -3.23189944 	 [1408] 
44 	  -3.23207324 	 [376] 
45 	  -3.23225010 	 [988] 
46 	  -3.23245344 	 [969] 
47 	  -3.23261309 	 [1715] 
48 	  -3.23280457 	 [342] 
49 	  -3.23287979 	 [741] 
50 	  -3.23294268 	 [2030] 
51 	  -3.23308816 	 [1394] 
52 	  -3.23311532 	 [2055] 
53 	  -3.23320569 	 [570] 
54 	  -3.23337534 	 [1671] 
55 	  -3.23349698 	 [1106] 
56 	  -3.23355725 	 [387] 
57 	  -3.23361295 	 [983] 
58 	  -3.23363353 	 [2078] 
59 	  -3.23368638 	 [1835] 
60 	  -3.23376728 	 [1022] 
61 	  -3.23381238 	 [1812] 
62 	  -3.23386714 	 [594] 
63 	  -3.23387772 	 [62] 
64 	  -3.23393346 	 [26] 
65 	  -3.23398453 	 [25] 
66 	  -3.23401976 	 [40] 
67 	  -3.23404984 	 [43] 
68 	  -3.23406238 	 [1701] 
69 	  -3.23407667 	 [32] 
70 	  -3.23408829 	 [34] 
71 	  -3.23414140 	 [1041] 
72 	  -3.23414583 	 [2060] 
73 	  -3.23415922 	 [15] 
74 	  -3.23416883 	 [1579] 
75 	  -3.23424677 	 [496] 
76 	  -3.23433488 	 [1056] 
77 	  -3.23435699 	 [210] 
78 	  -3.23436803 	 [12] 
79 	  -3.23437108 	 [263] 
80 	  -3.23438510 	 [227] 
81 	  -3.23440739 	 [1315] 
82 	  -3.23442606 	 [458] 
83 	  -3.23444618 	 [964] 
84 	  -3.23446495 	 [1657] 
85 	  -3.23446893 	 [1524] 
86 	  -3.23449715 	 [1530] 
87 	  -3.23450770 	 [1237] 
88 	  -3.23451455 	 [1735] 
89 	  -3.23453800 	 [1243] 
90 	  -3.23454259 	 [1264] 
91 	  -3.23455418 	 [1705] 
92 	  -3.23461360 	 [610] 
93 	  -3.23461596 	 [1784] 
94 	  -3.23463095 	 [855] 
95 	  -3.23467605 	 [1445] 
96 	  -3.23470590 	 [194] 
97 	  -3.23471392 	 [6] 
98 	  -3.23474250 	 [229] 
99 	  -3.23474348 	 [2095] 
100 	  -3.23475490 	 [1470] 
101 	  -3.23476089 	 [55] 
102 	  -3.23476883 	 [658] 
103 	  -3.23477922 	 [837] 
104 	  -3.23478166 	 [321] 
105 	  -3.23480286 	 [317] 
106 	  -3.23480565 	 [787] 
107 	  -3.23480902 	 [807] 
108 	  -3.23481963 	 [1739] 
109 	  -3.23483706 	 [809] 
110 	  -3.23484490 	 [97] 
111 	  -3.23484870 	 [1982] 
112 	  -3.23485131 	 [1371] 
113 	  -3.23485376 	 [1972] 
114 	  -3.23487009 	 [93] 
115 	  -3.23487859 	 [632] 
116 	  -3.23488088 	 [1144] 
117 	  -3.23488256 	 [1170] 
118 	  -3.23488399 	 [708] 
119 	  -3.23488931 	 [715] 
120 	  -3.23489567 	 [1710] 
121 	  -3.23490552 	 [475] 
122 	  -3.23491926 	 [621] 
123 	  -3.23493020 	 [1347] 
124 	  -3.23493157 	 [152] 
125 	  -3.23493282 	 [800] 
126 	  -3.23494481 	 [1986] 
127 	  -3.23495086 	 [1406] 
128 	  -3.23495462 	 [1087] 
129 	  -3.23496393 	 [1865] 
130 	  -3.23496511 	 [1998] 
131 	  -3.23496638 	 [1891] 
132 	  -3.23497603 	 [1887] 
133 	  -3.23498095 	 [346] 
134 	  -3.23499832 	 [554] 
135 	  -3.23500177 	 [1979] 
136 	  -3.23500668 	 [1914] 
137 	  -3.23501159 	 [1561] 
138 	  -3.23501339 	 [1895] 
139 	  -3.23501416 	 [1212] 
140 	  -3.23502580 	 [1216] 
141 	  -3.23502676 	 [706] 
142 	  -3.23502776 	 [111] 
143 	  -3.23502872 	 [310] 
