Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2
25,0.0002357153,0.0004118166,0.0003905629,0.0005082567,0.0002905597,7.30628719117021E-05,0.000048403,0.000146388,0.0001151368,9.47904055087534E-05,3.84312224987049E-05,0.0002072791,0.0002838887,0.0002587425,0.0001840386,0.0001482417,5.8925071556617E-05,1.88692255892242E-06
26,0.0001946498,0.0003717614,0.0003276663,0.000390411,9.12757222095539E-05,6.77842578008203E-05,4.4119600840693E-05,0.0001020808,6.68310700876873E-05,0.00005798,3.60203293250993E-05,2.46253749053515E-05,1.15555962127623E-05,4.75966346514589E-06,1.04041155461587E-06,3.66465535917015E-07,5.88987160229681E-05,1.73192774330033E-06
27,0.0001262261,0.0003235322,0.0002649717,0.0002868913,8.4181094342819E-05,4.48017040999282E-05,0.00001094,7.19295884235294E-05,2.40518310523008E-05,0.000026282,1.85027600533072E-05,9.17294127016355E-06,3.12123466384762E-06,4.06626402176258E-07,-0.000000256,-9.66367709320792E-08,2.98707308162793E-05,5.46561310956761E-07
28,7.85749198733665E-05,0.0002698262,0.0002309494,0.0002683308,2.77127243608E-05,0.000014658,5.89733935647985E-06,3.37217598377126E-05,1.89708823291035E-05,7.44352323266639E-06,8.36219872895505E-06,2.87587817781265E-06,0.000002394,-5.04518304680346E-07,-8.59688213790122E-07,-8.10115532763334E-07,1.17156109973315E-06,3.68348233275029E-07
29,6.19126464122033E-05,2.84996216315037E-05,0.000013713,0.0001608333,0.000024535,5.35768071182829E-06,2.56086857762128E-06,2.09782869294628E-05,1.12048187068137E-05,1.61772080238265E-06,4.27648072516718E-06,1.95783136199168E-06,1.99046143881887E-06,-8.0823283540532E-07,-1.56187190615498E-06,-1.24372503437442E-06,6.81475693449229E-07,2.98067553332615E-07
30,7.682605175523E-06,0.00001093,8.35655063688101E-06,4.97232650470014E-05,0.000005448,3.56425598022625E-07,-2.58910625128728E-06,1.38209075001949E-05,0.000003792,-1.23431210492519E-06,2.95557234454513E-06,1.55622492876262E-06,1.34412608534085E-06,-1.24811743753561E-06,-1.76079298275234E-06,-1.94026119200608E-06,6.81475693449229E-07,1.05421577254461E-07
31,4.38441256556565E-06,9.45657592509974E-06,6.75138059287761E-06,2.16961586517961E-05,2.48305710824681E-06,-1.30961331115564E-06,-2.70017536327494E-06,1.67419670705549E-06,2.00175706562611E-06,-1.54932226245741E-06,2.95557234454513E-06,1.30333821063644E-06,1.10881009454111E-06,-1.24811743753561E-06,-2.0513297466529E-06,-2.03689796293816E-06,6.03664781415603E-07,1.05421577254461E-07
32,-1.89257009365562E-06,1.67419670705549E-06,1.41629057732295E-06,7.5439253983145E-06,2.20381541381265E-06,-1.73945741805071E-06,-0.000002719,-3.34463024875831E-07,2.00175706562611E-06,-1.54932226245741E-06,,9.66365479957432E-07,6.25627354562397E-07,,-2.0513297466529E-06,-2.21134564590386E-06,6.03664781415603E-07,
33,-1.89257009365562E-06,-1.00464309151782E-06,-1.56874726275902E-08,6.27070755870207E-06,-1.24874444598078E-07,-1.73945741805071E-06,-0.00000282,-1.0611195535315E-06,,,,9.66365479957432E-07,6.25627354562397E-07,,,-2.21134564590386E-06,,
34,,-1.39809228421051E-06,-1.56874726275902E-08,3.04216862024198E-06,-1.24874444598078E-07,,-0.00000282,-1.0611195535315E-06,,,,,,,,,,
35,,-1.39809228421051E-06,,3.04216862024198E-06,,,,,,,,,,,,,,
