Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
25,0.00009566,0.00022744,0.00042949,0.00030784,0.00053877,0.00038193,0.0005659,0.000707,0.00118403,0.00162867,0.0022031,0.00231281,0.00242332,0.0023266,0.00215375,0.00145998,0.00007929,0.00067344,0.00010763,0.00017312,0.00021762
26,0.0001029,0.00021915,0.0001745,0.00030706,0.00053752,0.00036289,0.00014767,0.00061833,0.00079148,0.00082491,0.00020356,0.00175458,0.00210196,0.00200224,0.00168299,0.00145531,0.0000314,0.00004821,0.00005317,0.00013067,0.00013035
27,0.0000872,0.00012479,0.00017424,0.00028457,0.00010327,0.00004463,0.00004219,0.00004292,0.00004201,0.00003062,0.00001828,0.00001331,0.00000749,0.00000432,0.00000233,0.00000181,0.00001821,0.00000227,0.0000167,0.00000058,0.00012447
28,0.00008735,0.0001315,0.00022134,0.00019576,0.00018367,0.00003525,0.00001864,0.00006929,0.00001186,0.0000168,0.00000892,0.00000508,0.0000016,0.0000022,0.00000357,0.00000169,0.00001805,0.00000085,0.00001259,0.00000051,0.00008841
29,0.00005053,0.00010455,0.00008935,0.00008565,0.00005556,0.000012,0.00001495,0.00001037,0.00000666,0.00000497,0.00000357,0.00000186,0.00000112,0.00000095,0.00000148,0.00000136,0.00000157,0.00000069,0.00000607,0.00000046,0.00003881
30,0.00000923,0.00004725,0.00002499,0.00008708,0.00002562,0.00000455,0.00000725,0.0000155,0.00000365,0.00000215,0.00000147,0.00000147,0.00000116,0.00000057,0.00000075,0.00000231,0.00000033,0.00000062,0.00000601,0.00000024,0.00000572
31,0.00000825,0.00000539,0.00001382,0.00007803,0.00001828,0.0000066,0.00000036,0.00000564,0.00000122,0.00000049,0.0000002,0.00000062,0.0000008,0.00000011,0.00000047,0.00000049,0.00000033,0.00000037,0.00000362,,0.00000078
32,0.00000118,0.00000367,0.00001081,0.00001937,0.00000247,0.00000038,0.00000039,0.00000129,0.00000018,0.00000033,,0.00000057,0.00000057,,0.00000007,0.00000039,0.00000013,,0.00000052,,0.00000015
33,0.00000015,0.00000048,0.00000039,0.00001106,0.00000094,0.0000002,0.00000055,0.00000089,,,,0.00000005,0.00000032,,,0.00000005,,,0.00000015,,
34,,0.00000051,0.00000023,0.00000068,0.00000022,,0.00000014,0.00000005,,,,,,,,,,,,,
35,,0.00000015,,0.00000013,,,,,,,,,,,,,,,,,
